Name,Symbol,Formula,Code,Description
3d-glasses,가,"=UNICHAR(HEX2DEC(""ac00""))",ac00,"3D Glasses: Red and blue filters to experience movies with extra dimensions thanks to stereoscopy. In the cinema, hard to tell which objects are real and which ones simple pop out of the theater screen. (cinema eye glass)"
3d-hammer,각,"=UNICHAR(HEX2DEC(""ac01""))",ac01,3D Hammer: To hit on metal in a forge and produce perfect blades. (hammer tool)
3d-meeple,갂,"=UNICHAR(HEX2DEC(""ac02""))",ac02,3D Meeple: A small wooden character used as tokens by each player. This placeholder is placed on a board to show the game progress. (board toy)
3d-stairs,갃,"=UNICHAR(HEX2DEC(""ac03""))",ac03,"3D stairs: A staircase to reach the deeper level of a dungeon or, on the contrary, escape from the darkness one step at the time. (building)"
abacus,간,"=UNICHAR(HEX2DEC(""ac04""))",ac04,Abacus: Wooden balls used to count or tally before computers and their infinite power over numbers were everywhere. (gui household)
abbot-meeple,갅,"=UNICHAR(HEX2DEC(""ac05""))",ac05,Abbot meeple: A monk in charge of sharing the holy knowledged to surrounding folks. It can try to convert crowd to its new cause. (board body)
abdominal-armor,갆,"=UNICHAR(HEX2DEC(""ac06""))",ac06,Abdominal armor: A thick metal layer to protect the belly. (armor)
abstract-001,갇,"=UNICHAR(HEX2DEC(""ac07""))",ac07,Abstract 001: (abstract)
abstract-002,갈,"=UNICHAR(HEX2DEC(""ac08""))",ac08,Abstract 002: (abstract)
abstract-003,갉,"=UNICHAR(HEX2DEC(""ac09""))",ac09,Abstract 003: (abstract)
abstract-004,갊,"=UNICHAR(HEX2DEC(""ac0a""))",ac0a,Abstract 004: (abstract)
abstract-005,갋,"=UNICHAR(HEX2DEC(""ac0b""))",ac0b,Abstract 005: (abstract)
abstract-006,갌,"=UNICHAR(HEX2DEC(""ac0c""))",ac0c,Abstract 006: (abstract)
abstract-007,갍,"=UNICHAR(HEX2DEC(""ac0d""))",ac0d,Abstract 007: (abstract)
abstract-008,갎,"=UNICHAR(HEX2DEC(""ac0e""))",ac0e,Abstract 008: (abstract)
abstract-009,갏,"=UNICHAR(HEX2DEC(""ac0f""))",ac0f,Abstract 009: (abstract)
abstract-010,감,"=UNICHAR(HEX2DEC(""ac10""))",ac10,Abstract 010: (abstract)
abstract-011,갑,"=UNICHAR(HEX2DEC(""ac11""))",ac11,Abstract 011: (abstract)
abstract-012,값,"=UNICHAR(HEX2DEC(""ac12""))",ac12,Abstract 012: (abstract)
abstract-013,갓,"=UNICHAR(HEX2DEC(""ac13""))",ac13,Abstract 013: (abstract)
abstract-014,갔,"=UNICHAR(HEX2DEC(""ac14""))",ac14,Abstract 014: (abstract)
abstract-015,강,"=UNICHAR(HEX2DEC(""ac15""))",ac15,Abstract 015: (abstract)
abstract-016,갖,"=UNICHAR(HEX2DEC(""ac16""))",ac16,Abstract 016: (abstract)
abstract-017,갗,"=UNICHAR(HEX2DEC(""ac17""))",ac17,Abstract 017: (abstract)
abstract-018,갘,"=UNICHAR(HEX2DEC(""ac18""))",ac18,Abstract 018: (abstract)
abstract-019,같,"=UNICHAR(HEX2DEC(""ac19""))",ac19,Abstract 019: (abstract)
abstract-020,갚,"=UNICHAR(HEX2DEC(""ac1a""))",ac1a,Abstract 020: (abstract)
abstract-021,갛,"=UNICHAR(HEX2DEC(""ac1b""))",ac1b,Abstract 021: (abstract)
abstract-022,개,"=UNICHAR(HEX2DEC(""ac1c""))",ac1c,Abstract 022: (abstract)
abstract-023,객,"=UNICHAR(HEX2DEC(""ac1d""))",ac1d,Abstract 023: (abstract)
abstract-024,갞,"=UNICHAR(HEX2DEC(""ac1e""))",ac1e,Abstract 024: (abstract)
abstract-025,갟,"=UNICHAR(HEX2DEC(""ac1f""))",ac1f,Abstract 025: (abstract)
abstract-026,갠,"=UNICHAR(HEX2DEC(""ac20""))",ac20,Abstract 026: (abstract)
abstract-027,갡,"=UNICHAR(HEX2DEC(""ac21""))",ac21,Abstract 027: (abstract)
abstract-028,갢,"=UNICHAR(HEX2DEC(""ac22""))",ac22,Abstract 028: (abstract)
abstract-029,갣,"=UNICHAR(HEX2DEC(""ac23""))",ac23,Abstract 029: (abstract)
abstract-030,갤,"=UNICHAR(HEX2DEC(""ac24""))",ac24,Abstract 030: (abstract)
abstract-031,갥,"=UNICHAR(HEX2DEC(""ac25""))",ac25,Abstract 031: (abstract)
abstract-032,갦,"=UNICHAR(HEX2DEC(""ac26""))",ac26,Abstract 032: (abstract)
abstract-033,갧,"=UNICHAR(HEX2DEC(""ac27""))",ac27,Abstract 033: (abstract)
abstract-034,갨,"=UNICHAR(HEX2DEC(""ac28""))",ac28,Abstract 034: (abstract)
abstract-035,갩,"=UNICHAR(HEX2DEC(""ac29""))",ac29,Abstract 035: (abstract)
abstract-036,갪,"=UNICHAR(HEX2DEC(""ac2a""))",ac2a,Abstract 036: (abstract)
abstract-037,갫,"=UNICHAR(HEX2DEC(""ac2b""))",ac2b,Abstract 037: (abstract)
abstract-038,갬,"=UNICHAR(HEX2DEC(""ac2c""))",ac2c,Abstract 038: (abstract)
abstract-039,갭,"=UNICHAR(HEX2DEC(""ac2d""))",ac2d,Abstract 039: (abstract)
abstract-040,갮,"=UNICHAR(HEX2DEC(""ac2e""))",ac2e,Abstract 040: (abstract)
abstract-041,갯,"=UNICHAR(HEX2DEC(""ac2f""))",ac2f,Abstract 041: (abstract)
abstract-042,갰,"=UNICHAR(HEX2DEC(""ac30""))",ac30,Abstract 042: (abstract)
abstract-043,갱,"=UNICHAR(HEX2DEC(""ac31""))",ac31,Abstract 043: (abstract)
abstract-044,갲,"=UNICHAR(HEX2DEC(""ac32""))",ac32,Abstract 044: (abstract)
abstract-045,갳,"=UNICHAR(HEX2DEC(""ac33""))",ac33,Abstract 045: (abstract)
abstract-046,갴,"=UNICHAR(HEX2DEC(""ac34""))",ac34,Abstract 046: (abstract)
abstract-047,갵,"=UNICHAR(HEX2DEC(""ac35""))",ac35,Abstract 047: (abstract)
abstract-048,갶,"=UNICHAR(HEX2DEC(""ac36""))",ac36,Abstract 048: (abstract)
abstract-049,갷,"=UNICHAR(HEX2DEC(""ac37""))",ac37,Abstract 049: (abstract)
abstract-050,갸,"=UNICHAR(HEX2DEC(""ac38""))",ac38,Abstract 050: (abstract)
abstract-051,갹,"=UNICHAR(HEX2DEC(""ac39""))",ac39,Abstract 051: (abstract)
abstract-052,갺,"=UNICHAR(HEX2DEC(""ac3a""))",ac3a,Abstract 052: (abstract)
abstract-053,갻,"=UNICHAR(HEX2DEC(""ac3b""))",ac3b,Abstract 053: (abstract)
abstract-054,갼,"=UNICHAR(HEX2DEC(""ac3c""))",ac3c,Abstract 054: (abstract)
abstract-055,갽,"=UNICHAR(HEX2DEC(""ac3d""))",ac3d,Abstract 055: (abstract)
abstract-056,갾,"=UNICHAR(HEX2DEC(""ac3e""))",ac3e,Abstract 056: (abstract)
abstract-057,갿,"=UNICHAR(HEX2DEC(""ac3f""))",ac3f,Abstract 057: (abstract)
