3d-glasses,3d-glasses,"=UNICHAR(HEX2DEC(""f000""))","3D Glasses: Red and blue filters to experience movies with extra dimensions thanks to stereoscopy. In the cinema, hard to tell which objects are real and which ones simple pop out of the theater screen. (cinema eye glass)"
3d-hammer,3d-hammer,"=UNICHAR(HEX2DEC(""f001""))",3D Hammer: To hit on metal in a forge and produce perfect blades. (hammer tool)
3d-meeple,3d-meeple,"=UNICHAR(HEX2DEC(""f002""))",3D Meeple: A small wooden character used as tokens by each player. This placeholder is placed on a board to show the game progress. (board toy)
3d-stairs,3d-stairs,"=UNICHAR(HEX2DEC(""f003""))","3D stairs: A staircase to reach the deeper level of a dungeon or, on the contrary, escape from the darkness one step at the time. (building)"
abacus,abacus,"=UNICHAR(HEX2DEC(""f004""))",Abacus: Wooden balls used to count or tally before computers and their infinite power over numbers were everywhere. (gui household)
abbot-meeple,abbot-meeple,"=UNICHAR(HEX2DEC(""f005""))",Abbot meeple: A monk in charge of sharing the holy knowledged to surrounding folks. It can try to convert crowd to its new cause. (board body)
abdominal-armor,abdominal-armor,"=UNICHAR(HEX2DEC(""f006""))",Abdominal armor: A thick metal layer to protect the belly. (armor)
abstract-001,abstract-001,"=UNICHAR(HEX2DEC(""f007""))",Abstract 001: (abstract)
abstract-002,abstract-002,"=UNICHAR(HEX2DEC(""f008""))",Abstract 002: (abstract)
abstract-003,abstract-003,"=UNICHAR(HEX2DEC(""f009""))",Abstract 003: (abstract)
abstract-004,abstract-004,"=UNICHAR(HEX2DEC(""f00a""))",Abstract 004: (abstract)
abstract-005,abstract-005,"=UNICHAR(HEX2DEC(""f00b""))",Abstract 005: (abstract)
abstract-006,abstract-006,"=UNICHAR(HEX2DEC(""f00c""))",Abstract 006: (abstract)
abstract-007,abstract-007,"=UNICHAR(HEX2DEC(""f00d""))",Abstract 007: (abstract)
abstract-008,abstract-008,"=UNICHAR(HEX2DEC(""f00e""))",Abstract 008: (abstract)
abstract-009,abstract-009,"=UNICHAR(HEX2DEC(""f00f""))",Abstract 009: (abstract)
abstract-010,abstract-010,"=UNICHAR(HEX2DEC(""f010""))",Abstract 010: (abstract)
abstract-011,abstract-011,"=UNICHAR(HEX2DEC(""f011""))",Abstract 011: (abstract)
abstract-012,abstract-012,"=UNICHAR(HEX2DEC(""f012""))",Abstract 012: (abstract)
abstract-013,abstract-013,"=UNICHAR(HEX2DEC(""f013""))",Abstract 013: (abstract)
abstract-014,abstract-014,"=UNICHAR(HEX2DEC(""f014""))",Abstract 014: (abstract)
abstract-015,abstract-015,"=UNICHAR(HEX2DEC(""f015""))",Abstract 015: (abstract)
abstract-016,abstract-016,"=UNICHAR(HEX2DEC(""f016""))",Abstract 016: (abstract)
abstract-017,abstract-017,"=UNICHAR(HEX2DEC(""f017""))",Abstract 017: (abstract)
abstract-018,abstract-018,"=UNICHAR(HEX2DEC(""f018""))",Abstract 018: (abstract)
abstract-019,abstract-019,"=UNICHAR(HEX2DEC(""f019""))",Abstract 019: (abstract)
abstract-020,abstract-020,"=UNICHAR(HEX2DEC(""f01a""))",Abstract 020: (abstract)
abstract-021,abstract-021,"=UNICHAR(HEX2DEC(""f01b""))",Abstract 021: (abstract)
abstract-022,abstract-022,"=UNICHAR(HEX2DEC(""f01c""))",Abstract 022: (abstract)
abstract-023,abstract-023,"=UNICHAR(HEX2DEC(""f01d""))",Abstract 023: (abstract)
abstract-024,abstract-024,"=UNICHAR(HEX2DEC(""f01e""))",Abstract 024: (abstract)
abstract-025,abstract-025,"=UNICHAR(HEX2DEC(""f01f""))",Abstract 025: (abstract)
abstract-026,abstract-026,"=UNICHAR(HEX2DEC(""f020""))",Abstract 026: (abstract)
abstract-027,abstract-027,"=UNICHAR(HEX2DEC(""f021""))",Abstract 027: (abstract)
abstract-028,abstract-028,"=UNICHAR(HEX2DEC(""f022""))",Abstract 028: (abstract)
abstract-029,abstract-029,"=UNICHAR(HEX2DEC(""f023""))",Abstract 029: (abstract)
abstract-030,abstract-030,"=UNICHAR(HEX2DEC(""f024""))",Abstract 030: (abstract)
abstract-031,abstract-031,"=UNICHAR(HEX2DEC(""f025""))",Abstract 031: (abstract)
abstract-032,abstract-032,"=UNICHAR(HEX2DEC(""f026""))",Abstract 032: (abstract)
abstract-033,abstract-033,"=UNICHAR(HEX2DEC(""f027""))",Abstract 033: (abstract)
abstract-034,abstract-034,"=UNICHAR(HEX2DEC(""f028""))",Abstract 034: (abstract)
abstract-035,abstract-035,"=UNICHAR(HEX2DEC(""f029""))",Abstract 035: (abstract)
abstract-036,abstract-036,"=UNICHAR(HEX2DEC(""f02a""))",Abstract 036: (abstract)
abstract-037,abstract-037,"=UNICHAR(HEX2DEC(""f02b""))",Abstract 037: (abstract)
abstract-038,abstract-038,"=UNICHAR(HEX2DEC(""f02c""))",Abstract 038: (abstract)
abstract-039,abstract-039,"=UNICHAR(HEX2DEC(""f02d""))",Abstract 039: (abstract)
abstract-040,abstract-040,"=UNICHAR(HEX2DEC(""f02e""))",Abstract 040: (abstract)
abstract-041,abstract-041,"=UNICHAR(HEX2DEC(""f02f""))",Abstract 041: (abstract)
abstract-042,abstract-042,"=UNICHAR(HEX2DEC(""f030""))",Abstract 042: (abstract)
abstract-043,abstract-043,"=UNICHAR(HEX2DEC(""f031""))",Abstract 043: (abstract)
abstract-044,abstract-044,"=UNICHAR(HEX2DEC(""f032""))",Abstract 044: (abstract)
abstract-045,abstract-045,"=UNICHAR(HEX2DEC(""f033""))",Abstract 045: (abstract)
abstract-046,abstract-046,"=UNICHAR(HEX2DEC(""f034""))",Abstract 046: (abstract)
